# Elevation-to-color ramp approximating a saturated "Standard" look
# units: meters (ETOPO1). Format: <elev>  R  G  B
# Deep ocean
-11000   0   32   74
-9000    3   51  100
-8000    7   64  110
-7000   12   76  125
-6000   15   88  140
-5000   25  104  154
-4000   35  118  170
-3000   53  136  186
-2000   75  150  194
-1000  100  165  204
-500   130  185  214
-200   150  195  219
-50    166  202  224

# Coastline to lowlands
0      198  198  182
100    210  206  190
300    214  209  191
500    212  207  186
800    205  204  182
1200   201  201  175
1600   196  198  170
2200   190  193  166
2800   184  187  164
3400   178  182  160
4200   170  176  156
5000   164  170  150
6000   156  164  146
7000   150  158  142
8000   144  152  138 
